x,class,fold
studies of the impact of low inflation and minimum wages on employment and welfare,economics,test
network intermediation in international trade theory and evidence,economics,test
"international conference on the nerve growth cone; october 15-19, 1990; madrid, spain",neuroscience,test
ecology of mid-atlantic ridge hydrothermal vents food web analysis using multiple molecular and isotopic techniques,oceanography,test
size structured models for copepods applications to optimal body size,oceanography,test
"assertional methods for analyzing and deriving fault-tolerant, real-time, concurrent programs",software,test
a paleomagnetic study of the blake event in chinese loess-paleosol sequences,geophysics,test
experimental study of the role of pore fluid pressure in earthquake nucleation,geophysics,test
the trade effects of antidumping investigations,economics,test
the production of lawyers the impact of law school status on ideologies of legal professionalism,sociology,test
on reputation and bargaining,economics,test
an experimental investigation of ecological character displacement in polyphenic species,ecology,test
mathematical sciences partial differential equations and applications,math,test
crustal and upper mantle velocity structure along the trans-alaska crustal transect using inversion of teleseismicreceiver functions,geophysics,test
monetary credibility in a transforming economy,economics,test
aspects of computation theory,theory,test
support for structural evolution in software development,software,test
a gps study of caribbean plate kinematics and distributed deformation between the caribbeanand north american plates,geophysics,test
crb  toward sustainable land use and biodiversity in mosaic of agriculture and tropical forest,ecology,test
the ecological and evolutionary significance of interaction modification in ant-phorid interactions,ecology,test
endophyte mediation of tri-trophic interactions in the quercus gambelii,ecology,test
nyi using fuzzy logic to deal with qualitive requirements and uncertaintly in the environment,data,test
